filename,FLOPs,Unit
Coffe.java,340.590G,85.132M
Coffee.java,417.880G,85.132M
Comp.java,387.304G,85.132M
D.java,273.492G,85.132M
deco.java,321.055G,85.132M
Dyn.java,182.611G,85.132M
e.java,438.265G,85.132M
AuthorizableDecorator.java,480.732G,85.132M
Avatar.java,28.880G,85.132M
AvatarProfile.java,37.373G,85.132M
BiobankDecorator.java,968.257G,85.132M
Component.java,32.277G,85.132M
Component1.java,41.620G,85.132M
DataDecorator.java,807.731G,85.132M
DBIndexUpdateDecorator.java,232.723G,85.132M
Decorator.java,43.319G,85.132M
Decorator1.java,73.046G,85.132M
Decorator2.java,73.046G,85.132M
Defender.java,85.786G,85.132M
Druid.java,58.607G,85.132M
Fighter.java,85.786G,85.132M
FlowcellDecorator.java,308.315G,85.132M
IdentifiableDecorator.java,157.980G,85.132M
Knight.java,58.607G,85.132M
LibraryLaneDecorator.java,313.411G,85.132M
Magician.java,85.786G,85.132M
Main.java,56.908G,85.132M
Main2.java,83.238G,85.132M
MeasurementDecorator.java,919.844G,85.132M
MolgenisFileDecorator.java,1.791T,85.132M
MolgenisUserDecorator.java,964.860G,85.132M
NameableDecorator.java,266.697G,85.132M
TaskDecorator.java,574.160G,85.132M
DebugProxyHandler.java,1.180T,85.132M
EventsJsonProxy.java,347.385G,85.132M
ObjectProxy.java,475.636G,85.132M
PopoutPanelProxy.java,225.079G,85.132M
PopoutWindowProxy.java,1.221T,85.132M
AvlTreeSingleton.java,585.202G,85.132M
DateSortedDownloadAdapter.java,242.066G,85.132M
DateSortedExpandableListAdapter.java,1.674T,85.132M
DownloadAdapter.java,1.773T,85.132M
RealSystemFacade.java,738.933G,85.132M
SystemFacade.java,132.500G,85.132M
SystemFacade.java,132.500G,85.132M
BeanMappingBuilder.java,659.944G,85.132M
ClassMapBuilder.java,3.883T,85.132M
DozerBuilder.java,4.069T,85.132M
TypeMappingBuilder.java,424.675G,85.132M
BatteryLevelAdapter.java,1.166T,85.132M
BillingObserver.java,228.476G,85.132M
ChartFactory.java,2.629T,85.132M
IntentReceiver.java,1.005T,85.132M
IDFactory.java,1.390T,85.132M
Proxy.java,714.302G,85.132M
ServiceResourceFactory.java,155.432G,85.132M
SmartProxy.java,38.223G,85.132M
BreakpointMementoProvider.java,490.924G,85.132M
ControlsMementoProvider.java,179.214G,85.132M
DebugElementMementoProvider.java,305.767G,85.132M
ElementMementoProvider.java,529.994G,85.132M
ExpressionManagerMementoProvider.java,124.856G,85.132M
ExpressionMementoProvider.java,113.814G,85.132M
IElementMementoProvider.java,36.524G,85.132M
IElementMementoRequest.java,33.976G,85.132M
IMementoConstants.java,101.074G,85.132M
MementoUpdate.java,365.221G,85.132M
MemoryViewElementMementoProvider.java,355.878G,85.132M
XMLMemento.java,3.047T,85.132M
MementoTokenizer.java,1.796T,85.132M
Mementos.java,137.596G,85.132M
BreakpointMementoProvider.java,490.924G,85.132M
ControlsMementoProvider.java,179.214G,85.132M
DebugElementMementoProvider.java,305.767G,85.132M
ElementMementoProvider.java,529.994G,85.132M
ExpressionManagerMementoProvider.java,124.856G,85.132M
ExpressionMementoProvider.java,113.814G,85.132M
